f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95.0,5.0,1.0,100.0,5.0,5.0,0.25,10.0,5.0,3.0,600.0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95.0,6699918,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,25.0,1.6094379124341005,2.590290393980234,1.0986122886681098,1.0,1.791759469228055,1.0,6.398594934535208,40.942017136259615,261.97138345772447,360000.0,216000000.0,4.605170185988092,3.0,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,25.0,2.0,1.0,93.0,6.0,1.0,1.67,0.0,1.0,1.0,107.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25.0,14370540,Hackney,moderate,Private room,Apartment,3.218875824868201,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.9459101490553128,1.0,4.68213122712422,21.922352828011753,102.64333274806879,11449.0,1225043.0,4.532599493153256,1.0,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,200.0,6.0,2.0,96.0,0.0,1.0,0.52,0.0,5.0,3.0,405.0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200.0,3746537,Hackney,moderate,Entire home/apt,House,5.298317366548036,36.0,1.791759469228055,3.210401995568401,1.0986122886681098,2.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,175.0,6.0,1.0,98.0,19.0,2.0,1.16,0.0,2.0,4.0,492.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175.0,7847341,Hackney,strict,Entire home/apt,House,5.1647859739235145,36.0,1.791759469228055,3.210401995568401,1.3862943611198906,1.0,2.995732273553991,1.0,6.20050917404269,38.44631401738756,238.38672277293762,242064.0,119095488.0,4.584967478670572,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95.0,2.0,1.0,94.0,24.0,1.0,1.94,0.0,2.0,1.0,371.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95.0,8886505,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,3.218875824868201,1.0,5.918893854273146,35.03330445815242,207.35841045223836,137641.0,51064811.0,4.543294782270004,2.0,0,0,0
House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,80.0,2.0,1.0,98.0,53.0,2.0,1.29,10.0,3.0,1.0,1230.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80.0,1696001,Hackney,strict,Entire home/apt,House,4.382026634673881,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,3.9889840465642745,2.0,7.115582126184454,50.63150899447567,360.2726604228385,1512900.0,1860867000.0,4.584967478670572,3.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,150.0,2.0,1.0,96.0,0.0,1.0,0.52,0.0,5.0,1.0,405.0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150.0,4151158,Hackney,flexible,Private room,Apartment,5.010635294096256,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Private room,Private,flexible,Real Bed,Hackney,30.0,2.0,1.0,100.0,1.0,1.0,0.23,15.0,1.0,1.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30.0,13629629,Hackney,flexible,Private room,Apartment,3.4011973816621555,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.6931471805599453,1.0,4.859812404361672,23.617776605587576,114.7779637112774,16384.0,2097152.0,4.605170185988092,1.0,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,29.0,2.0,1.0,100.0,7.0,1.0,0.65,0.0,2.0,1.0,319.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29.0,11732568,Hackney,moderate,Private room,Apartment,3.367295829986474,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.079441541679836,1.0,5.768320995793772,33.27352711051525,191.93238503569842,101761.0,32461759.0,4.605170185988092,2.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,40.0,2.0,1.0,96.0,0.0,1.0,0.52,0.0,2.0,1.0,405.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,40.0,16687408,Hackney,flexible,Private room,Apartment,3.688879454113936,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,2.0,1,1,1
Apartment,Private room,Private,strict,Real Bed,Hackney,38.0,2.0,1.0,92.0,10.0,1.0,0.88,0.0,1.0,1.0,339.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38.0,12019448,Hackney,strict,Private room,Apartment,3.6375861597263857,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.3978952727983707,1.0,5.8289456176102075,33.97660701305724,198.04779455002426,114921.0,38958219.0,4.5217885770490405,1.0,0,0,0
House,Private room,Private,flexible,Real Bed,Hackney,30.0,2.0,3.0,100.0,1.0,1.0,0.18,5.0,2.0,1.0,169.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,2119021,Hackney,flexible,Private room,House,3.4011973816621555,4.0,0.6931471805599453,0.4804530139182014,0.0,2.0,0.6931471805599453,1.0,5.135798437050262,26.376425586007915,135.464005299592,28561.0,4826809.0,4.605170185988092,2.0,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,110.0,2.0,1.5,96.0,0.0,1.0,0.52,0.0,2.0,1.0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,110.0,502289,Hackney,moderate,Private room,Apartment,4.700480365792417,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,2.0,1,1,1
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,190.0,4.0,1.0,96.0,11.0,4.0,0.26,15.0,2.0,2.0,1251.0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,190.0,1257914,Hackney,flexible,Entire home/apt,House,5.247024072160486,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,2.4849066497880004,1.0,7.132497551660044,50.87252132443652,362.84813379331683,1565001.0,1957816251.0,4.564348191467836,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,71.0,6.0,1.0,96.0,0.0,1.0,0.52,0.0,4.0,2.0,405.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,71.0,13342662,Hackney,strict,Entire home/apt,Apartment,4.262679877041316,36.0,1.791759469228055,3.210401995568401,0.6931471805599453,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,3.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,115.0,5.0,1.0,95.0,4.0,4.0,0.18,20.0,3.0,2.0,656.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,115.0,5331886,Hackney,strict,Entire home/apt,Apartment,4.74493212836325,25.0,1.6094379124341005,2.590290393980234,0.6931471805599453,1.0,1.6094379124341005,1.0,6.48768401848461,42.09004392370062,273.0669053011078,430336.0,282300416.0,4.553876891600541,3.0,0,0,0
House,Private room,Private,flexible,Real Bed,Hackney,35.0,2.0,1.0,100.0,1.0,1.0,0.52,0.0,1.0,1.0,57.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,35.0,16490286,Hackney,flexible,Private room,House,3.555348061489413,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.6931471805599453,1.0,4.060443010546419,16.48719744189527,66.94532561644243,3249.0,185193.0,4.605170185988092,1.0,0,0,0
Apartment,Private room,Private,flexible,Couch,Hackney,45.0,2.0,1.0,96.0,0.0,1.0,0.52,10.0,1.0,1.0,405.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.0,2346751,Hackney,flexible,Private room,Apartment,3.80666248977032,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,79.0,2.0,1.0,92.0,10.0,1.0,0.85,0.0,3.0,1.0,353.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,79.0,11001281,Hackney,strict,Entire home/apt,Apartment,4.3694478524670215,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.3978952727983707,1.0,5.869296913133774,34.44864625452165,202.18933312330128,124609.0,43986977.0,4.5217885770490405,3.0,0,0,0
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85.0,2.0,1.0,96.0,0.0,1.0,0.52,0.0,2.0,1.0,405.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,85.0,16733411,Hackney,flexible,Entire home/apt,House,4.442651256490317,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,2.0,1,1,1
House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100.0,2.0,1.5,100.0,1.0,1.0,0.04,0.0,1.0,1.0,742.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100.0,5323290,Hackney,flexible,Entire home/apt,House,4.605170185988092,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.6931471805599453,1.0,6.610696044717759,43.701302195647024,288.8960255737793,550564.0,408518488.0,4.605170185988092,1.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,121.0,6.0,1.5,96.0,0.0,1.0,0.52,7.0,1.0,4.0,405.0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,121.0,17258516,Hackney,strict,Entire home/apt,Apartment,4.795790545596741,36.0,1.791759469228055,3.210401995568401,1.3862943611198906,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,69.0,4.0,1.0,95.0,73.0,1.0,1.61,0.0,3.0,2.0,1357.0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,69.0,1188836,Hackney,moderate,Entire home/apt,Apartment,4.23410650459726,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,4.30406509320417,2.0,7.213768308118642,52.03845320321689,375.393344520881,1841449.0,2498846293.0,4.553876891600541,3.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,30.0,1.0,1.0,96.0,0.0,1.0,0.52,0.0,1.0,2.0,405.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30.0,14242650,Hackney,flexible,Private room,Apartment,3.4011973816621555,1.0,0.0,0.0,0.6931471805599453,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
House,Private room,Private,flexible,Real Bed,Hackney,60.0,3.0,1.0,100.0,1.0,1.0,0.48,0.0,4.0,3.0,61.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,60.0,16424347,Hackney,flexible,Private room,House,4.0943445622221,9.0,1.0986122886681098,1.206948960812582,0.0,1.0,0.6931471805599453,1.0,4.127134385045092,17.033238232221528,70.29846319686614,3721.0,226981.0,4.605170185988092,3.0,0,0,0
Apartment,Private room,Private,strict,Real Bed,Hackney,29.0,1.0,1.0,93.0,125.0,1.0,4.15,0.0,2.0,1.0,902.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,29.0,3639077,Hackney,strict,Private room,Apartment,3.367295829986474,1.0,0.0,0.0,0.0,1.0,4.836281906951478,2.0,6.805722553416985,46.317859474088614,315.2265008488035,813604.0,733870808.0,4.532599493153256,2.0,0,0,0
Apartment,Private room,Private,flexible,Real Bed,Hackney,73.0,2.0,1.0,96.0,0.0,1.0,0.52,0.0,1.0,1.0,405.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,73.0,6788203,Hackney,flexible,Private room,Apartment,4.290459441148391,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,55.0,2.0,1.0,93.0,3.0,2.0,0.87,0.0,5.0,1.0,103.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55.0,14572278,Hackney,strict,Entire home/apt,Apartment,4.007333185232471,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.3862943611198906,1.0,4.6443908991413725,21.570366824027207,100.18121536865294,10609.0,1092727.0,4.532599493153256,3.0,0,0,0
House,Private room,Private,strict,Real Bed,Hackney,66.0,2.0,0.5,96.0,0.0,1.0,0.52,8.0,1.0,1.0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,66.0,17339749,Hackney,strict,Private room,House,4.189654742026425,4.0,0.6931471805599453,0.4804530139182014,0.0,0.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
Apartment,Private room,Private,strict,Real Bed,Hackney,33.0,2.0,1.5,84.0,12.0,1.0,2.02,0.0,2.0,1.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,33.0,14482740,Hackney,strict,Private room,Apartment,3.49650756146648,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,2.5649493574615367,1.0,5.176149732573829,26.79252605402412,138.68212656951428,30976.0,5451776.0,4.430816798843313,2.0,0,0,0
House,Private room,Private,strict,Real Bed,Hackney,39.0,2.0,1.5,70.0,4.0,1.0,0.43,0.0,2.0,1.0,280.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,39.0,13171330,Hackney,strict,Private room,House,3.6635616461296463,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.6094379124341005,1.0,5.638354669333745,31.79104337719765,179.249177868814,78400.0,21952000.0,4.248495242049359,2.0,0,0,0
